Jacobi relaxation calculation: 500 x 500 grid	./laplace_seq |	Jacobi relaxation calculation: 500 x 500 grid	./laplace_pth
31.000000 37.821921 43.613224 46.778461 48.435449 49.346589 4 |	31.000000 37.821690 43.613685 46.777768 48.436373 49.345435 4
25.000000 43.169272 47.791654 49.457672 50.219979 50.602764 5 |	25.000000 43.169507 47.791182 49.458379 50.219036 50.603942 5
94.000000 62.064454 54.924562 53.043424 52.380258 52.044307 5 |	94.000000 62.064214 54.925043 53.042703 52.381220 52.043105 5
38.000000 56.163022 56.800640 55.408317 54.217171 53.371266 5 |	38.000000 56.163268 56.800150 55.409053 54.216191 53.372492 5
93.000000 67.787976 60.704696 57.574975 55.704921 54.450339 5 |	93.000000 67.787726 60.705196 57.574226 55.705921 54.449090 5
50.000000 61.283186 60.657194 58.478968 56.581196 55.152378 5 |	50.000000 61.283440 60.656685 58.479732 56.580177 55.153652 5
73.000000 66.688591 62.159888 59.105563 56.984440 55.471576 5 |	73.000000 66.688332 62.160407 59.104784 56.985479 55.470278 5
99.000000 70.310253 62.190281 58.795841 56.783580 55.374345 5 |	99.000000 70.310517 62.189752 58.796634 56.782522 55.375667 5
27.000000 53.363196 57.493026 57.107113 55.975463 54.908264 5 |	27.000000 53.362927 57.493565 57.106306 55.976540 54.906917 5
64.000000 58.648429 57.313669 56.160892 55.107203 54.235522 5 |	64.000000 58.648703 57.313120 56.161715 55.106106 54.236893 5
61.000000 59.917947 56.950134 55.118873 54.052548 53.378462 5 |	61.000000 59.917668 56.950692 55.118036 54.053664 53.377067 5
93.000000 63.072110 55.452278 53.308571 52.610118 52.314170 5 |	93.000000 63.072394 55.451711 53.309422 52.608983 52.315589 5
27.000000 43.919351 48.476028 50.056419 50.760642 51.131750 5 |	27.000000 43.919062 48.476605 50.055553 50.761797 51.130307 5
19.000000 37.128111 44.478372 47.676971 49.248901 50.112260 5 |	19.000000 37.128404 44.477785 47.677852 49.247726 50.113728 5
36.000000 41.115895 44.630029 46.927717 48.441031 49.448205 5 |	36.000000 41.115596 44.630626 46.926821 48.442225 49.446712 5
52.000000 46.704245 46.000519 46.959254 48.144079 49.119232 4 |	52.000000 46.704549 45.999912 46.960164 48.142865 49.120750 4
66.000000 47.701782 45.706121 46.768341 48.051944 49.057056 4 |	66.000000 47.701473 45.706738 46.767416 48.053178 49.055514 4
4.000000 32.395526 42.356310 46.352344 48.243235 49.283311 49 |	4.000000 32.395840 42.355684 46.353285 48.241981 49.284878 49
2.000000 35.525266 44.968742 48.045253 49.280324 49.912699 50 |	2.000000 35.524948 44.969379 48.044297 49.281598 49.911107 50
97.000000 62.735522 53.950687 51.575779 50.925204 50.779751 5 |	97.000000 62.735846 53.950041 51.576749 50.923910 50.781368 5
87.000000 64.467430 56.520119 53.385852 52.059788 51.487246 5 |	87.000000 64.467101 56.520776 53.384866 52.061101 51.485604 5
25.000000 51.612763 54.279135 53.383780 52.446104 51.858311 5 |	25.000000 51.613097 54.278468 53.384780 52.444770 51.859978 5
94.000000 62.705822 55.597210 53.428030 52.477203 51.966781 5 |	94.000000 62.705483 55.597887 53.427014 52.478557 51.965089 5
38.000000 49.611960 51.978562 52.249864 52.073312 51.851893 5 |	38.000000 49.612304 51.977875 52.250895 52.071938 51.853611 5
26.000000 45.764832 50.452464 51.523675 51.708790 51.690983 5 |	26.000000 45.764483 50.453162 51.522629 51.710185 51.689240 5
79.000000 56.993509 52.545578 51.679398 51.552769 51.561926 5 |	79.000000 56.993863 52.544871 51.680459 51.551354 51.563694 5
44.000000 50.665041 51.054111 51.099813 51.255301 51.425420 5 |	44.000000 50.664682 51.054829 51.098737 51.256736 51.423626 5
58.000000 50.611107 49.908884 50.406136 50.948944 51.331201 5 |	58.000000 50.611470 49.908156 50.407228 50.947489 51.333020 5
40.000000 43.871957 47.561271 49.671270 50.797317 51.393093 5 |	40.000000 43.871588 47.562009 49.670163 50.798793 51.391248 5
1.000000 37.313974 46.795926 49.915926 51.181865 51.745500 51 |	1.000000 37.314349 46.795178 49.917048 51.180368 51.747371 51
90.000000 57.589511 52.389541 52.019131 52.262730 52.425257 5 |	90.000000 57.589131 52.390299 52.017994 52.264247 52.423360 5
35.000000 50.653011 53.156629 53.503777 53.430736 53.235089 5 |	35.000000 50.653395 53.155860 53.504931 53.429198 53.237011 5
62.000000 56.867440 56.077111 55.413227 54.715197 54.088452 5 |	62.000000 56.867051 56.077891 55.412058 54.716755 54.086504 5
47.000000 58.738080 58.874267 57.352146 55.934606 54.837939 5 |	47.000000 58.738475 58.873477 57.353330 55.933027 54.839913 5
98.000000 72.212193 63.326571 59.191221 56.826824 55.314456 5 |	98.000000 72.211793 63.327371 59.190021 56.828424 55.312456 5
73.000000 68.782522 63.031803 59.254544 56.873413 55.307485 5 |	73.000000 68.782927 63.030992 59.255760 56.871792 55.309511 5
90.000000 66.887711 60.760333 57.926602 56.098316 54.811026 5 |	90.000000 66.887300 60.761154 57.925371 56.099958 54.808974 5
7.000000 48.006347 55.198500 55.588290 54.788788 53.948080 53 |	7.000000 48.006763 55.197669 55.589537 54.787125 53.950158 53
91.000000 62.940839 56.435705 54.444258 53.513817 52.925885 5 |	91.000000 62.940418 56.436547 54.442995 53.515501 52.923780 5
68.000000 56.319621 53.162590 52.234170 51.903071 51.733924 5 |	68.000000 56.320047 53.161737 52.235449 51.901366 51.736056 5
12.000000 41.176760 47.657454 49.431875 50.123553 50.493737 5 |	12.000000 41.176329 47.658317 49.430580 50.125279 50.491579 5
68.000000 48.728240 46.862043 47.707143 48.672433 49.393084 4 |	68.000000 48.728677 46.861170 47.708454 48.670686 49.395269 4
28.000000 38.875904 43.351841 45.867463 47.458963 48.516965 4 |	28.000000 38.875462 43.352726 45.866136 47.460733 48.514754 4
19.000000 35.421765 41.805493 44.946598 46.786068 47.974390 4 |	19.000000 35.422212 41.804598 44.947941 46.784278 47.976628 4
47.000000 42.007453 43.498187 45.332739 46.757159 47.810735 4 |	47.000000 42.007000 43.499093 45.331380 46.758971 47.808471 4
29.000000 42.108048 44.850688 46.123574 47.106342 47.916776 4 |	29.000000 42.108506 44.849771 46.124949 47.104509 47.919067 4
81.000000 52.575883 47.669276 47.210028 47.620527 48.178207 4 |	81.000000 52.575419 47.670204 47.208637 47.622381 48.175889 4
4.000000 39.524353 46.044216 47.421170 47.994948 48.462711 48 |	4.000000 39.524822 46.043277 47.422578 47.993072 48.465057 48
84.000000 55.479190 49.558310 48.441119 48.467879 48.784180 4 |	84.000000 55.478716 49.559259 48.439695 48.469777 48.781807 4
47.000000 48.832200 48.272512 48.311420 48.658862 49.053415 4 |	47.000000 48.832680 48.271552 48.312860 48.656942 49.055815 4
48.000000 44.579017 46.384279 47.878947 48.795055 49.365286 4 |	48.000000 44.578532 46.385250 47.877491 48.796996 49.362859 4
0.000000 35.097648 44.810523 48.019209 49.284890 49.865085 50 |	0.000000 35.098139 44.809541 48.020682 49.282927 49.867540 50
65.000000 51.003017 49.737028 50.108367 50.452357 50.643351 5 |	65.000000 51.002521 49.738020 50.106878 50.454342 50.640870 5
51.000000 54.175408 53.030175 52.218917 51.780762 51.513946 5 |	51.000000 54.175910 53.029171 52.220422 51.778754 51.516455 5
85.000000 61.670447 55.985331 53.962386 52.929798 52.301943 5 |	85.000000 61.669939 55.986346 53.960864 52.931827 52.299407 5
24.000000 51.519018 55.282377 54.709410 53.682217 52.866300 5 |	24.000000 51.519531 55.281351 54.710949 53.680166 52.868864 5
83.000000 65.125300 58.911644 55.916816 54.215155 53.186058 5 |	83.000000 65.124782 58.912681 55.915260 54.217229 53.183467 5
85.000000 67.068466 59.326230 55.824832 54.083824 53.119421 5 |	85.000000 67.068990 59.325182 55.826404 54.081728 53.122040 5
68.000000 58.824430 55.495785 53.978747 53.167505 52.677669 5 |	68.000000 58.823901 55.496844 53.977159 53.169622 52.675023 5
25.000000 44.731351 49.857969 51.420514 51.938248 52.073713 5 |	25.000000 44.731886 49.856899 51.422119 51.936108 52.076388 5
50.000000 45.245145 47.779947 49.913510 51.082701 51.631700 5 |	50.000000 45.244605 47.781029 49.911888 51.084863 51.628997 5
17.000000 38.467120 46.107490 49.364390 50.855994 51.523032 5 |	17.000000 38.467666 46.106397 49.366029 50.853810 51.525762 5
41.000000 45.518030 48.814132 50.587121 51.445116 51.822106 5 |	41.000000 45.517479 48.815236 50.585466 51.447323 51.819348 5
56.000000 53.788662 53.048301 52.718224 52.524071 52.366611 5 |	56.000000 53.789220 53.047187 52.719896 52.521841 52.369398 5
65.000000 60.590546 56.867728 54.720091 53.557414 52.906028 5 |	65.000000 60.589983 56.868854 54.718402 53.559666 52.903213 5
84.000000 66.703543 59.116477 55.730242 54.088476 53.191292 5 |	84.000000 66.704112 59.115340 55.731948 54.086201 53.194135 5
86.000000 63.109424 57.159846 55.002748 53.865856 53.131813 5 |	86.000000 63.108850 57.160995 55.001025 53.868153 53.128942 5
7.000000 42.572010 51.415330 53.248157 53.249573 52.844731 52 |	7.000000 42.572590 51.414170 53.249897 53.247254 52.847631 52
36.000000 48.765606 52.676667 53.331937 53.030271 52.571684 5 |	36.000000 48.765020 52.677838 53.330180 53.032613 52.568756 5
82.000000 63.811405 57.198479 54.365626 52.977259 52.227764 5 |	82.000000 63.811996 57.197296 54.367400 52.974894 52.230720 5
88.000000 67.283900 57.935487 53.961924 52.275917 51.563396 5 |	88.000000 67.283303 57.936681 53.960133 52.278304 51.560412 5
80.000000 59.386321 53.302420 51.263503 50.610638 50.475067 5 |	80.000000 59.386924 53.301214 51.265311 50.608227 50.478080 5
7.000000 36.961376 44.619546 47.186264 48.418423 49.199778 49 |	7.000000 36.960768 44.620763 47.184438 48.420856 49.196736 49
39.000000 36.837204 41.032991 44.436282 46.686745 48.144791 4 |	39.000000 36.837818 41.031763 44.438124 46.684289 48.147861 4
13.000000 30.356905 38.234020 42.846496 45.737661 47.591052 4 |	13.000000 30.356285 38.235260 42.844637 45.740140 47.587953 4
32.000000 33.353916 38.704646 42.970584 45.836269 47.682570 4 |	32.000000 33.354541 38.703395 42.972461 45.833767 47.685698 4
17.000000 32.356614 40.255062 44.502431 46.944251 48.436943 4 |	17.000000 32.355982 40.256324 44.500537 46.946776 48.433786 4
14.000000 38.814952 45.461607 47.832250 49.011463 49.729975 5 |	14.000000 38.815590 45.460333 47.834161 49.008915 49.733160 5
94.000000 63.444137 54.939066 52.361145 51.529184 51.268565 5 |	94.000000 63.443495 54.940352 52.359216 51.531755 51.265351 5
85.000000 66.019959 58.494520 55.136364 53.485847 52.605750 5 |	85.000000 66.020608 58.493222 55.138310 53.483252 52.608992 5
41.000000 57.143774 57.877500 56.211729 54.661712 53.563652 5 |	41.000000 57.143120 57.878809 56.209766 54.664329 53.560380 5
74.000000 63.675021 59.665211 57.163489 55.396088 54.147209 5 |	74.000000 63.675681 59.663891 57.165469 55.393448 54.150509 5
72.000000 63.893738 59.939554 57.388849 55.601382 54.351112 5 |	72.000000 63.893072 59.940886 57.386851 55.604045 54.347782 5
53.000000 59.957713 58.815746 56.842979 55.280133 54.167951 5 |	53.000000 59.958385 58.814402 56.844994 55.277446 54.171309 5
77.000000 64.124055 58.517363 55.895249 54.497474 53.654907 5 |	77.000000 64.123378 58.518718 55.893216 54.500184 53.651520 5
86.000000 61.018434 55.239823 53.715048 53.170446 52.855655 5 |	86.000000 61.019118 55.238457 53.717098 53.167713 52.859071 5
5.000000 38.712592 47.702982 50.562874 51.602674 51.994121 52 |	5.000000 38.711903 47.704360 50.560807 51.605431 51.990676 52
36.000000 41.126195 46.302150 49.222523 50.694283 51.398357 5 |	36.000000 41.126890 46.300760 49.224608 50.691503 51.401831 5
39.000000 43.492819 47.151342 49.339123 50.542457 51.193930 5 |	39.000000 43.492118 47.152743 49.337021 50.545261 51.190426 5
35.000000 46.690937 49.476880 50.431762 50.953707 51.290918 5 |	35.000000 46.691644 49.475467 50.433882 50.950880 51.294451 5
73.000000 58.796875 53.627827 51.965816 51.538385 51.514327 5 |	73.000000 58.796162 53.629252 51.963678 51.541235 51.510765 5
93.000000 61.865885 54.277438 52.256739 51.731090 51.631482 5 |	93.000000 61.866604 54.276001 52.258894 51.728216 51.635073 5
2.000000 41.392102 49.353552 51.061235 51.486259 51.637913 51 |	2.000000 41.391377 49.355001 51.059062 51.489156 51.634293 51
72.000000 52.346072 50.689228 51.139698 51.526387 51.713974 5 |	72.000000 52.346802 50.687768 51.141888 51.523467 51.717624 5
26.000000 45.305879 49.911750 51.290703 51.753935 51.908784 5 |	26.000000 45.305143 49.913222 51.288495 51.756878 51.905104 5
60.000000 52.962749 52.367080 52.348596 52.301641 52.216066 5 |	60.000000 52.963490 52.365596 52.350821 52.298674 52.219775 5
45.000000 54.181003 54.239290 53.443861 52.876100 52.536514 5 |	45.000000 54.180255 54.240786 53.441618 52.879090 52.532776 5
88.000000 64.518982 56.971200 54.302486 53.234345 52.724276 5 |	88.000000 64.519736 56.969693 54.304746 53.231330 52.728043 5
76.000000 58.926741 54.818012 53.569580 53.022461 52.700124 5 |	76.000000 58.925981 54.819531 53.567302 53.025498 52.696327 5
2.000000 40.366931 49.810602 52.126250 52.597945 52.575674 52 |	2.000000 40.367696 49.809072 52.128546 52.594884 52.579500 52
53.000000 50.733441 51.925094 52.536055 52.655152 52.577469 5 |	53.000000 50.732670 51.926637 52.533741 52.658236 52.573614 5
63.000000 57.638656 54.626448 53.428470 52.921476 52.634361 5 |	63.000000 57.639433 54.624894 53.430801 52.918368 52.638246 5
91.000000 62.197842 55.507358 53.639224 52.955489 52.620043 5 |	91.000000 62.197059 55.508924 53.636875 52.958620 52.616129 5
8.000000 44.642222 51.572180 52.656185 52.653739 52.480595 52 |	8.000000 44.643011 51.570602 52.658551 52.650584 52.484538 52
76.000000 56.802022 53.476644 52.769063 52.510067 52.350049 5 |	76.000000 56.801228 53.478233 52.766679 52.513246 52.346076 5
48.000000 53.086045 52.769668 52.423819 52.280131 52.186854 5 |	48.000000 53.086845 52.768067 52.426221 52.276929 52.190856 5
71.000000 54.775691 52.085761 51.886020 51.986978 52.033803 5 |	71.000000 54.774884 52.087374 51.883601 51.990204 52.029771 5
26.000000 42.927731 48.918118 51.037845 51.760861 51.951024 5 |	26.000000 42.928543 48.916493 51.040281 51.757612 51.955085 5
12.000000 42.020365 49.614636 51.596127 52.054600 52.079688 5 |	12.000000 42.019547 49.616272 51.593673 52.057873 52.075597 5
94.000000 63.535822 55.930477 53.667612 52.794815 52.331113 5 |	94.000000 63.536646 55.928829 53.670083 52.791519 52.335232 5
71.000000 62.195742 56.897248 54.358915 53.112751 52.437278 5 |	71.000000 62.194912 56.898907 54.356425 53.116071 52.433129 5
62.000000 57.346579 55.110496 53.748091 52.873275 52.279414 5 |	62.000000 57.347415 55.108824 53.750598 52.869933 52.283592 5
40.000000 50.083421 52.443380 52.659705 52.339475 51.953881 5 |	40.000000 50.082579 52.445063 52.657180 52.342841 51.949674 5
45.000000 50.540358 51.926632 52.097774 51.884505 51.572046 5 |	45.000000 50.541206 51.924937 52.100316 51.881116 51.576283 5
69.000000 55.154770 52.618237 51.930422 51.515167 51.180340 5 |	69.000000 55.153917 52.619944 51.927862 51.518580 51.176075 5
29.000000 48.457073 51.467950 51.480272 51.079052 50.714892 5 |	29.000000 48.457932 51.466232 51.482849 51.075616 50.719186 5
75.000000 58.209009 53.309345 51.453972 50.592133 50.155826 4 |	75.000000 58.208144 53.311074 51.451377 50.595592 50.151502 4
65.000000 56.066160 52.113367 50.423760 49.693520 49.377369 4 |	65.000000 56.067031 52.111625 50.426372 49.690037 49.381722 4
49.000000 48.945746 48.647237 48.444630 48.366887 48.404801 4 |	49.000000 48.944870 48.648990 48.442000 48.370392 48.400419 4
36.000000 42.066082 45.092218 46.330117 46.938619 47.349496 4 |	36.000000 42.066964 45.090453 46.332764 46.935090 47.353907 4
14.000000 38.229892 43.318378 44.855589 45.693863 46.361394 4 |	14.000000 38.229004 43.320154 44.852925 45.697415 46.356953 4
96.000000 53.531558 45.102917 44.069342 44.634057 45.453155 4 |	96.000000 53.532452 45.101129 44.072023 44.630482 45.457624 4
15.000000 34.796997 39.485239 41.695530 43.305569 44.600392 4 |	15.000000 34.796097 39.487038 41.692831 43.309167 44.595894 4
27.000000 31.167592 36.352709 39.911176 42.306691 43.990960 4 |	27.000000 31.168498 36.350898 39.913893 42.303069 43.995487 4
9.000000 26.524285 34.839584 39.300642 42.004570 43.828704 45 |	9.000000 26.523374 34.841406 39.297908 42.008215 43.824148 45
14.000000 31.086320 37.187990 40.436302 42.596824 44.162561 4 |	14.000000 31.087237 37.186156 40.439053 42.593156 44.167145 4
73.000000 46.636672 42.382419 42.670757 43.769190 44.882278 4 |	73.000000 46.635749 42.384265 42.667989 43.772881 44.877665 4
23.000000 40.074256 43.041639 44.084045 44.941665 45.744765 4 |	23.000000 40.075185 43.039782 44.086830 44.937952 45.749406 4
62.000000 47.622429 45.618409 45.693259 46.153808 46.693151 4 |	62.000000 47.621495 45.620278 45.690456 46.157544 46.688480 4
24.000000 42.793314 46.123784 46.905563 47.302102 47.645873 4 |	24.000000 42.794254 46.121904 46.908382 47.298343 47.650572 4
79.000000 53.430803 49.170331 48.514384 48.488128 48.613781 4 |	79.000000 53.429857 49.172222 48.511548 48.491910 48.609054 4
10.000000 42.755784 48.619918 49.482169 49.537373 49.522762 4 |	10.000000 42.756735 48.618016 49.485023 49.533568 49.527518 4
81.000000 58.976220 53.063778 51.268417 50.641212 50.400172 5 |	81.000000 58.975263 53.065692 51.265546 50.645039 50.395388 5
82.000000 59.081491 53.398214 51.875027 51.374195 51.126540 5 |	82.000000 59.082454 53.396288 51.877914 51.370345 51.131352 5
11.000000 41.955381 49.564858 51.470832 51.838602 51.779429 5 |	11.000000 41.954413 49.566794 51.467927 51.842475 51.774589 5
44.000000 48.171302 51.442751 52.593222 52.745444 52.534668 5 |	44.000000 48.172276 51.440803 52.596144 52.741549 52.539537 5
49.000000 55.290973 55.433831 54.725547 53.999704 53.386941 5 |	49.000000 55.289993 55.435790 54.722609 54.003622 53.382044 5
92.000000 68.554841 60.283887 56.863680 55.156555 54.121049 5 |	92.000000 68.555826 60.281917 56.866635 55.152615 54.125974 5
83.000000 66.648444 60.275317 57.300549 55.626029 54.544861 5 |	83.000000 66.647453 60.277299 57.297577 55.629991 54.539909 5
42.000000 54.759655 56.876314 56.425283 55.517999 54.648354 5 |	42.000000 54.760651 56.874322 56.428272 55.514015 54.653335 5
41.000000 53.517845 56.037033 56.018224 55.356393 54.617836 5 |	41.000000 53.516843 56.039037 56.015219 55.360400 54.612828 5
84.000000 62.270686 57.743764 56.242166 55.287540 54.499927 5 |	84.000000 62.271693 57.741750 56.245187 55.283511 54.504963 5
35.000000 53.825162 56.417115 55.931221 55.035558 54.255340 5 |	35.000000 53.824149 56.419140 55.928183 55.039608 54.250277 5
67.000000 61.608797 58.176413 56.017895 54.684334 53.831765 5 |	67.000000 61.609815 58.174376 56.020950 54.680261 53.836855 5
93.000000 67.437685 58.653700 55.291831 53.835827 53.131301 5 |	93.000000 67.436662 58.655747 55.288760 53.839922 53.126184 5
63.000000 56.484150 53.717059 52.647620 52.252221 52.102330 5 |	63.000000 56.485179 53.715000 52.650707 52.248104 52.107474 5
30.000000 41.785973 47.074532 49.341719 50.406641 50.990296 5 |	30.000000 41.784938 47.076601 49.338615 50.410779 50.985124 5
0.000000 33.581072 43.461652 47.225669 49.058880 50.097305 50 |	0.000000 33.582112 43.459572 47.228789 49.054721 50.102504 50
75.000000 49.080825 45.957016 47.052905 48.489268 49.609760 5 |	75.000000 49.079779 45.959107 47.049769 48.493449 49.604534 5
40.000000 41.781029 44.241044 46.527124 48.252251 49.448172 5 |	40.000000 41.782080 44.238943 46.530276 48.248049 49.453424 5
12.000000 33.806450 42.690603 46.574904 48.527632 49.675575 5 |	12.000000 33.805393 42.692715 46.571736 48.531855 49.670296 5
11.000000 38.749942 46.148463 48.541586 49.624692 50.291852 5 |	11.000000 38.751003 46.146340 48.544770 49.620447 50.297158 5
97.000000 64.049101 54.603229 51.831022 51.120718 51.095505 5 |	97.000000 64.048035 54.605362 51.827822 51.124984 51.090173 5
92.000000 65.838968 56.392864 53.045756 51.948717 51.676686 5 |	92.000000 65.840040 56.390720 53.048971 51.944430 51.682044 5
43.000000 50.918193 52.074928 52.023282 51.934563 51.966066 5 |	43.000000 50.917116 52.077082 52.020051 51.938870 51.960682 5
21.000000 42.754570 48.973988 51.024960 51.817416 52.175791 5 |	21.000000 42.755652 48.971823 51.028206 51.813088 52.181201 5
66.000000 50.130426 50.032837 51.298139 52.117038 52.556492 5 |	66.000000 50.129339 50.035012 51.294877 52.121387 52.551055 5
7.000000 41.729950 49.737493 52.004674 52.813502 53.138349 53 |	7.000000 41.731042 49.735308 52.007951 52.809132 53.143811 53
84.000000 60.056249 55.173774 54.182670 53.976468 53.922908 5 |	84.000000 60.055151 55.175969 54.179377 53.980858 53.917421 5
65.000000 59.316883 56.727464 55.562594 55.004354 54.686235 5 |	65.000000 59.317985 56.725258 55.565902 54.999944 54.691748 5
